286,Main & Jasperson,Kingsville,251026,41250,27750,POINT (-82.721484 42.038229)
287,Lasalle & Barrydowne (Supermall),Sudbury,294516,66750,51100,POINT (-80.942472 46.521143)
288,Mapleview & Bryne Dr,Barrie,387581,52500,207100,POINT (-79.690508 44.337044)
289,Wellington St & Parkview D,St. Marys,57233,11250,NULL,POINT (-81.143045 43.260993)
290,Hwy 522 & Loring Rd,Port Loring,5203,NULL,NULL,POINT (-79.985582 45.916035)
293,Hwy 6 & 9,Arthur,184092,7500,NULL,POINT (-80.533748 43.828141)
294,Currie & Mckellar St,Glencoe,120420,15000,12000,POINT (-81.712869 42.746855)
295,Dundas & Jane,Toronto-Central,469256,86625,148150,POINT (-79.488857 43.666103)
296,Main St & Mill St,Milverton,150941,15000,2250,POINT (-80.925532 43.560979)
297,Young & Queen,Acton,115186,3375,NULL,POINT (-80.030937 43.634405)
298,Broadway & Townline,Orangeville,471168,6750,37150,POINT (-80.087392 43.921029)
299,Alice Street & St James Stret South,Waterford,77819,15000,1500,POINT (-80.293521 42.933728)
300,9th Ave & 16th St,Owen Sound,287740,76000,43000,POINT (-80.925958 44.574096)
301,Queen & Ottawa,Almonte,23186,NULL,18750,POINT (-76.193253 45.228398)
302,Hwy 6 & 89,Mount Forest,55341,6750,NULL,POINT (-80.735317 43.979765)
303,Hwy 43 & Queen St,Chesterville,184994,6000,NULL,POINT (-75.236764 45.101476)
304,Hwy 2 & Dundas St,Cardinal,116278,NULL,6000,POINT (-75.382468 44.788355)
305,Albert St & Hwy 35,Coboconk,70760,NULL,NULL,POINT (-78.798766 44.658301)
306,Hwy 121 & Colbourne St,Fenelon Falls,NULL,NULL,1500,POINT (-78.738368 44.537622)
307,Hwy 503 & Hwy 121,Kinmount,69546,NULL,NULL,POINT (-78.652935 44.784462)
308,St. Isidore & Main St,St. Isidore,21767,NULL,2100,POINT (-74.906169 45.388587)
309,Hwy 43 S & 417 N,Maxville,77141,NULL,NULL,POINT (-74.854704 45.287733)
310,Wonderland & Oxford,London,348503,86700,92500,POINT (-81.293082 42.985575)
311,Yonge & Brookland,Aurora,63156,55500,109150,POINT (-79.465497 43.989193)
312,Primeway & Woodlawn,Welland,67175,27100,28000,POINT (-79.227546 43.014899)
313,Mosley & Second,Wasaga Beach,194999,7500,66000,POINT (-80.020667 44.521529)
314,Hwy 512 & 62,Killaloe,33110,5250,NULL,POINT (-77.416195 45.555157)
315,Hwy 17 & Tower Rd,Vermilion Bay,43516,NULL,NULL,POINT (-93.37668 49.857343)
316,Elgin St & Main St,Athens,62436,NULL,NULL,POINT (-75.950869 44.626357)
317,Hwy 4 & 6,Durham,48719,7500,NULL,POINT (-80.818647 44.176011)
